"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","ICMP Type","Length","Flags"
"109","26.357455","192.168.42.42","192.168.42.129","54192","53","DNS","","117",""
"110","26.357966","192.168.42.42","192.168.42.129","55537","53","DNS","","102",""
"111","26.358376","192.168.42.129","192.168.42.42","53","55537","DNS","","118",""
"112","26.395302","192.168.42.42","192.168.42.129","52863","53","DNS","","87",""
"113","26.421664","192.168.42.129","192.168.42.42","53","57206","DNS","","87",""
"114","26.432283","192.168.42.129","192.168.42.42","53","54192","DNS","","145",""
"115","26.432428","192.168.42.129","192.168.42.42","53","52863","DNS","","103",""
"116","26.444900","192.168.42.42","142.250.207.234","51935","443","TCP","","66","0x002"
"117","26.446349","192.168.42.42","192.168.42.129","63520","53","DNS","","87",""
"118","26.446751","192.168.42.129","192.168.42.42","53","63520","DNS","","103",""
"119","26.488075","192.168.42.42","192.168.42.129","54351","53","DNS","","87",""
"120","26.488076","192.168.42.42","192.168.42.129","49379","53","DNS","","102",""
"121","26.523163","192.168.42.129","192.168.42.42","53","54351","DNS","","115",""
"122","26.523501","192.168.42.129","192.168.42.42","53","49379","DNS","","130",""
"123","26.528633","142.250.207.234","192.168.42.42","443","51935","TCP","","66","0x012"
"124","26.528726","192.168.42.42","142.250.207.234","51935","443","TCP","","54","0x010"
"125","26.535369","192.168.42.42","142.250.207.234","51935","443","TLSv1.3","","571","0x018"
"126","26.618653","142.250.207.234","192.168.42.42","443","51935","TCP","","54","0x010"
"127","26.717067","192.168.42.42","192.168.42.129","64384","53","DNS","","74",""
"128","26.717791","192.168.42.42","192.168.42.129","60064","53","DNS","","85",""
"129","26.718642","192.168.42.42","192.168.42.129","61846","53","DNS","","84",""
"130","26.719002","192.168.42.129","192.168.42.42","53","61846","DNS","","198",""
"131","26.719518","192.168.42.42","192.168.42.129","50148","53","DNS","","97",""
"132","26.722083","192.168.42.42","192.168.42.129","63691","53","DNS","","90",""
"133","26.723928","192.168.42.42","192.168.42.129","49274","53","DNS","","84",""
"134","26.725309","192.168.42.42","34.107.221.82","51936","80","TCP","","66","0x002"
"135","26.750547","142.250.207.234","192.168.42.42","443","51935","TLSv1.3","","1424","0x010"
"136","26.750655","142.250.207.234","192.168.42.42","443","51935","TCP","","1424","0x018"
"137","26.750697","192.168.42.42","142.250.207.234","51935","443","TCP","","54","0x010"
"138","26.752757","142.250.207.234","192.168.42.42","443","51935","TCP","","1424","0x010"
"139","26.752871","142.250.207.234","192.168.42.42","443","51935","TLSv1.3","","626","0x018"
"140","26.752902","192.168.42.42","142.250.207.234","51935","443","TCP","","54","0x010"
"141","26.781667","192.168.42.129","192.168.42.42","53","64384","DNS","","173",""
"142","26.792290","192.168.42.129","192.168.42.42","53","60064","DNS","","251",""
"143","26.792877","192.168.42.129","192.168.42.42","53","50148","DNS","","113",""
"144","26.793251","192.168.42.129","192.168.42.42","53","63691","DNS","","222",""
"145","26.793621","192.168.42.129","192.168.42.42","53","49274","DNS","","132",""
"146","26.804909","34.107.221.82","192.168.42.42","80","51936","TCP","","66","0x012"
"147","26.805031","192.168.42.42","34.107.221.82","51936","80","TCP","","54","0x010"
"148","26.805437","192.168.42.42","34.107.221.82","51936","80","HTTP","","358","0x018"
"149","26.827476","192.168.42.42","35.241.9.150","51937","443","TCP","","66","0x002"
"150","26.827858","192.168.42.42","35.241.9.150","51938","443","TCP","","66","0x002"
"151","26.828392","192.168.42.42","54.187.174.239","51939","443","TCP","","66","0x002"
"152","26.829761","192.168.42.42","34.120.208.123","51940","443","TCP","","66","0x002"
"153","26.830178","192.168.42.42","49.44.197.225","51941","80","TCP","","66","0x002"
"154","26.830444","192.168.42.42","49.44.197.225","51942","80","TCP","","66","0x002"
"155","26.830708","192.168.42.42","49.44.197.225","51943","80","TCP","","66","0x002"
"156","26.862793","34.107.221.82","192.168.42.42","80","51936","TCP","","54","0x010"
"157","26.862884","34.107.221.82","192.168.42.42","80","51936","HTTP","","270","0x018"
"158","26.864383","49.44.197.225","192.168.42.42","80","51943","TCP","","66","0x012"
"159","26.864465","192.168.42.42","49.44.197.225","51943","80","TCP","","54","0x010"
"160","26.864518","49.44.197.225","192.168.42.42","80","51942","TCP","","66","0x012"
"161","26.864559","192.168.42.42","49.44.197.225","51942","80","TCP","","54","0x010"
"162","26.864648","192.168.42.42","49.44.197.225","51943","80","OCSP","","478","0x018"
"163","26.864749","49.44.197.225","192.168.42.42","80","51941","TCP","","66","0x012"
"164","26.864790","192.168.42.42","49.44.197.225","51941","80","TCP","","54","0x010"
"165","26.864892","192.168.42.42","49.44.197.225","51942","80","OCSP","","478","0x018"
"166","26.865082","192.168.42.42","49.44.197.225","51941","80","OCSP","","478","0x018"
"167","26.868527","34.120.208.123","192.168.42.42","443","51940","TCP","","66","0x012"
"168","26.868619","192.168.42.42","34.120.208.123","51940","443","TCP","","54","0x010"
"169","26.868678","35.241.9.150","192.168.42.42","443","51937","TCP","","66","0x012"
"170","26.868718","192.168.42.42","35.241.9.150","51937","443","TCP","","54","0x010"
"171","26.868875","35.241.9.150","192.168.42.42","443","51938","TCP","","66","0x012"
"172","26.868916","192.168.42.42","35.241.9.150","51938","443","TCP","","54","0x010"
"173","26.875508","192.168.42.42","34.120.208.123","51940","443","TLSv1.3","","571","0x018"
"174","26.885350","192.168.42.42","35.241.9.150","51937","443","TLSv1.3","","571","0x018"
"175","26.891596","192.168.42.42","35.241.9.150","51938","443","TLSv1.3","","571","0x018"
"176","26.923786","49.44.197.225","192.168.42.42","80","51943","TCP","","54","0x010"
"177","26.923882","49.44.197.225","192.168.42.42","80","51941","TCP","","54","0x010"
"178","26.923997","49.44.197.225","192.168.42.42","80","51942","TCP","","54","0x010"
"179","26.925887","49.44.197.225","192.168.42.42","80","51941","OCSP","","943","0x018"
"180","26.926125","49.44.197.225","192.168.42.42","80","51943","OCSP","","942","0x018"
"181","26.926392","49.44.197.225","192.168.42.42","80","51942","OCSP","","943","0x018"
"182","26.928472","192.168.42.42","34.117.237.239","51932","443","TLSv1.3","","118","0x018"
"183","26.930283","192.168.42.42","34.120.5.221","51931","443","TLSv1.3","","118","0x018"
"184","26.930773","192.168.42.42","34.117.237.239","51932","443","TLSv1.3","","224","0x018"
"185","26.930909","192.168.42.42","34.117.237.239","51932","443","TLSv1.3","","295","0x018"
"186","26.931688","192.168.42.42","34.120.5.221","51931","443","TLSv1.3","","224","0x018"
"187","26.931754","192.168.42.42","34.120.5.221","51931","443","TLSv1.3","","369","0x018"
"188","26.931941","192.168.42.42","34.160.144.191","51933","443","TLSv1.2","","231","0x018"
"189","26.932000","192.168.42.42","34.160.144.191","51933","443","TLSv1.2","","357","0x018"
"190","26.932348","192.168.42.42","34.160.144.191","51933","443","TLSv1.2","","92","0x018"
"191","26.932749","34.120.208.123","192.168.42.42","443","51940","TCP","","54","0x010"
"192","26.937271","34.120.208.123","192.168.42.42","443","51940","TLSv1.3","","1424","0x010"
"193","26.937495","34.120.208.123","192.168.42.42","443","51940","TCP","","1424","0x018"
"194","26.937532","192.168.42.42","34.120.208.123","51940","443","TCP","","54","0x010"
"195","26.937652","34.120.208.123","192.168.42.42","443","51940","TLSv1.3","","831","0x018"
"196","26.947514","35.241.9.150","192.168.42.42","443","51937","TCP","","54","0x010"
"197","26.947618","35.241.9.150","192.168.42.42","443","51938","TCP","","54","0x010"
"198","26.949254","35.241.9.150","192.168.42.42","443","51938","TLSv1.3","","1424","0x010"
"199","26.956490","192.168.42.42","34.107.221.82","51936","80","TCP","","54","0x010"
"200","26.961509","35.241.9.150","192.168.42.42","443","51938","TCP","","1424","0x018"
"201","26.961569","192.168.42.42","35.241.9.150","51938","443","TCP","","54","0x010"
"202","26.963122","35.241.9.150","192.168.42.42","443","51938","TCP","","1424","0x010"
"203","26.971923","192.168.42.42","192.168.42.129","50300","53","DNS","","97",""
"204","26.972502","192.168.42.129","192.168.42.42","53","50300","DNS","","113",""
"205","26.974449","192.168.42.42","192.168.42.129","51101","53","DNS","","84",""
"206","26.974750","192.168.42.129","192.168.42.42","53","51101","DNS","","132",""
"207","26.975681","192.168.42.42","192.168.42.129","56179","53","DNS","","84",""
"208","26.975997","192.168.42.129","192.168.42.42","53","56179","DNS","","212",""
"209","26.979660","35.241.9.150","192.168.42.42","443","51937","TLSv1.3","","1424","0x010"
"210","26.979872","35.241.9.150","192.168.42.42","443","51937","TCP","","1424","0x018"
"211","26.979910","192.168.42.42","35.241.9.150","51937","443","TCP","","54","0x010"
"212","26.980004","35.241.9.150","192.168.42.42","443","51938","TLSv1.3","","543","0x018"
"213","26.980030","192.168.42.42","35.241.9.150","51938","443","TCP","","54","0x010"
"214","26.999572","34.120.5.221","192.168.42.42","443","51931","TCP","","54","0x010"
"215","26.999875","34.117.237.239","192.168.42.42","443","51932","TLSv1.3","","85","0x018"
"216","26.999930","192.168.42.42","34.117.237.239","51932","443","TCP","","66","0x010"
"217","27.000129","34.117.237.239","192.168.42.42","443","51932","TCP","","640","0x018"
"218","27.000175","192.168.42.42","34.117.237.239","51932","443","TCP","","54","0x010"
"219","27.001521","35.241.9.150","192.168.42.42","443","51937","TCP","","1424","0x010"
"220","27.001618","35.241.9.150","192.168.42.42","443","51937","TLSv1.3","","543","0x018"
"221","27.001665","192.168.42.42","35.241.9.150","51937","443","TCP","","54","0x010"
"222","27.001880","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","92","0x018"
"223","27.011628","192.168.42.42","34.117.237.239","51932","443","TLSv1.3","","85","0x018"
"224","27.018532","34.160.144.191","192.168.42.42","443","51933","TCP","","54","0x010"
"225","27.018662","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","640","0x018"
"226","27.018713","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","85","0x018"
"227","27.018749","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"228","27.018868","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","512","0x018"
"229","27.019119","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"230","27.019143","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"231","27.021585","192.168.42.42","34.120.5.221","51931","443","TLSv1.3","","85","0x018"
"232","27.042789","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"233","27.042889","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"234","27.043007","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"235","27.043033","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"236","27.057682","192.168.42.42","49.44.197.225","51941","80","TCP","","54","0x010"
"237","27.057681","192.168.42.42","49.44.197.225","51942","80","TCP","","54","0x010"
"238","27.057709","192.168.42.42","49.44.197.225","51943","80","TCP","","54","0x010"
"239","27.057729","192.168.42.42","34.120.208.123","51940","443","TCP","","54","0x010"
"240","27.057773","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"241","27.059267","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","370","0x018"
"242","27.059626","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"243","27.059676","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"244","27.063056","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","1424","0x018"
"245","27.063164","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"246","27.067661","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","1424","0x018"
"247","27.067875","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","1424","0x010"
"248","27.067914","192.168.42.42","34.160.144.191","51933","443","TCP","","54","0x010"
"249","27.069882","34.160.144.191","192.168.42.42","443","51933","TLSv1.2","","1417","0x018"
"250","27.070143","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"251","27.070180","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"252","27.124908","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"253","27.125002","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"254","27.125114","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"255","27.125139","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"256","27.125369","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"257","27.125398","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"258","27.125495","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"259","27.125519","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"260","27.125743","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"261","27.125767","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"262","27.125871","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"263","27.125894","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"264","27.126246","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"265","27.126275","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"266","27.126371","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x010"
"267","27.126394","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
"268","27.126619","34.120.5.221","192.168.42.42","443","51931","TLSv1.3","","1424","0x018"
"269","27.126644","192.168.42.42","34.120.5.221","51931","443","TCP","","54","0x010"
