"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","ICMP Type","Flags"
"122","15.629144","192.168.42.224","192.168.42.129","58091","53","DNS","74","",""
"123","15.629459","192.168.42.129","192.168.42.224","53","58091","DNS","90","",""
"124","15.632781","192.168.42.224","192.168.42.129","50564","53","DNS","71","",""
"125","15.633397","192.168.42.224","192.168.42.129","55695","53","DNS","74","",""
"126","15.649115","192.168.42.129","192.168.42.224","53","50327","DNS","110","",""
"127","15.650991","192.168.42.224","192.168.42.129","49180","53","DNS","83","",""
"128","15.651455","192.168.42.129","192.168.42.224","53","49180","DNS","339","",""
"129","15.652166","192.168.42.224","192.168.42.129","51583","53","DNS","83","",""
"130","15.657428","192.168.42.224","192.168.42.129","55695","53","DNS","74","",""
"131","15.657459","192.168.42.224","192.168.42.129","50564","53","DNS","71","",""
"132","15.673124","192.168.42.224","192.168.42.129","51583","53","DNS","83","",""
"133","15.678862","142.250.192.142","192.168.42.224","443","62097","TCP","66","","0x012"
"134","15.678966","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"135","15.685367","192.168.42.129","192.168.42.224","53","51583","DNS","195","",""
"136","15.687835","192.168.42.129","192.168.42.224","53","50564","DNS","183","",""
"137","15.688455","192.168.42.129","192.168.42.224","53","55695","DNS","102","",""
"138","15.689061","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","571","","0x018"
"139","15.759874","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"140","15.780986","13.107.18.254","192.168.42.224","443","62090","TCP","54","","0x014"
"141","15.820997","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"142","15.829000","142.250.192.142","192.168.42.224","443","62097","TCP","1424","","0x018"
"143","15.829093","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"144","15.829615","142.250.192.142","192.168.42.224","443","62097","TCP","1424","","0x010"
"145","15.829866","142.250.192.142","192.168.42.224","443","62097","TCP","1424","","0x018"
"146","15.829926","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"147","15.831617","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1345","","0x018"
"148","15.831707","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","129","","0x018"
"149","15.831995","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","366","","0x018"
"150","15.832042","192.168.42.224","34.120.208.123","62094","443","TCP","54","","0x010"
"151","15.832125","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","119","","0x018"
"152","15.832370","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","100","","0x018"
"153","15.832417","192.168.42.224","34.120.208.123","62094","443","TCP","54","","0x010"
"154","15.862029","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","100","","0x018"
"155","15.874563","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"156","15.880157","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","118","","0x018"
"157","15.880929","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","224","","0x018"
"158","15.880997","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","541","","0x018"
"159","15.896489","34.120.208.123","192.168.42.224","443","62094","TCP","54","","0x010"
"160","15.949869","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"161","15.949950","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"162","15.950078","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"163","15.950201","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","668","","0x018"
"164","15.951215","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","85","","0x018"
"165","15.951252","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"166","15.952004","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","85","","0x018"
"167","16.034803","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"168","16.038931","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","797","","0x018"
"169","16.039150","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"170","16.039225","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"171","16.039441","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"172","16.040746","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","562","","0x018"
"173","16.040811","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"174","16.056669","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"175","16.056793","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"176","16.056851","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"177","16.061654","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"178","16.061881","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"179","16.061948","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"180","16.062141","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"181","16.062367","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"182","16.062422","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"183","16.064130","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"184","16.064239","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","437","","0x018"
"185","16.064298","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"186","16.065880","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"187","16.067628","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"188","16.067710","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"189","16.071742","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"190","16.071955","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"191","16.072023","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"192","16.083951","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"193","16.084148","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"194","16.084231","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"195","16.084464","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"196","16.084650","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"197","16.084717","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"198","16.084802","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"199","16.084985","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"200","16.085037","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"201","16.101003","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"202","16.106610","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"203","16.106672","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"204","16.106841","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1386","","0x018"
"205","16.113443","192.168.42.224","192.168.42.129","52583","53","DNS","77","",""
"206","16.142883","192.168.42.129","192.168.42.224","53","52583","DNS","93","",""
"207","16.158871","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"208","16.168621","192.168.42.224","192.168.42.129","58566","53","DNS","77","",""
"209","16.169086","192.168.42.129","192.168.42.224","53","58566","DNS","93","",""
"210","16.183039","192.168.42.224","192.168.42.129","59648","53","DNS","77","",""
"211","16.243373","192.168.42.129","192.168.42.224","53","59648","DNS","105","",""
"212","16.976858","192.168.42.224","192.168.42.129","58982","53","DNS","80","",""
"213","17.019486","192.168.42.224","192.168.42.129","58982","53","DNS","80","",""
"214","17.077499","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","120","","0x018"
"215","17.077960","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"216","17.078002","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"217","17.079086","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"218","17.079332","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1023","","0x018"
"219","17.079360","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"220","17.079579","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"221","17.079831","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"222","17.079855","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"223","17.081468","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"224","17.081706","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1067","","0x018"
"225","17.081734","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"226","17.081841","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1254","","0x018"
"227","17.082207","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"228","17.082230","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"229","17.082330","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1042","","0x018"
"230","17.083210","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"231","17.083241","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"232","17.083331","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1005","","0x018"
"233","17.083580","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"234","17.083603","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"235","17.083829","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"236","17.084078","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"237","17.084103","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"238","17.084330","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"239","17.085474","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"240","17.085521","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"241","17.085830","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"242","17.087488","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"243","17.087550","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"244","17.087655","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"245","17.089876","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"246","17.089985","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"247","17.091212","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"248","17.091456","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"249","17.091484","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"250","17.091830","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"251","17.092102","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"252","17.092127","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"253","17.102376","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"254","17.102522","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x018"
"255","17.102558","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"256","17.102708","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","1424","","0x010"
"257","17.102954","142.250.192.142","192.168.42.224","443","62097","TLSv1.3","662","","0x018"
"258","17.102974","192.168.42.224","142.250.192.142","62097","443","TCP","54","","0x010"
"259","17.103452","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","93","","0x018"
"260","17.122032","192.168.42.129","192.168.42.224","53","58982","DNS","96","",""
"261","17.165396","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"262","17.259036","192.168.42.224","192.168.42.129","51900","53","DNS","80","",""
"263","17.259591","192.168.42.129","192.168.42.224","53","51900","DNS","96","",""
"264","17.302598","192.168.42.224","192.168.42.129","51900","53","DNS","80","",""
"265","17.303219","192.168.42.129","192.168.42.224","53","51900","DNS","96","",""
"266","17.419942","192.168.42.224","192.168.42.129","58264","53","DNS","80","",""
"267","17.504682","192.168.42.224","142.250.182.246","62098","443","TCP","66","","0x002"
"268","17.511046","192.168.42.224","192.168.42.129","58264","53","DNS","80","",""
"269","17.568122","204.79.197.222","192.168.42.224","443","62091","TCP","54","","0x014"
"270","17.572610","192.168.42.129","192.168.42.224","53","58264","DNS","108","",""
"271","17.592769","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","207","","0x018"
"272","17.608253","142.250.182.246","192.168.42.224","443","62098","TCP","66","","0x012"
"273","17.608370","192.168.42.224","142.250.182.246","62098","443","TCP","54","","0x010"
"274","17.613737","192.168.42.224","142.250.182.246","62098","443","TLSv1.3","571","","0x018"
"275","17.670123","142.250.192.142","192.168.42.224","443","62097","TCP","54","","0x010"
"276","17.688870","142.250.182.246","192.168.42.224","443","62098","TCP","54","","0x010"
"277","17.713880","13.107.42.254","192.168.42.224","443","62088","TCP","54","","0x014"
"278","17.738485","192.168.42.224","142.250.192.74","58265","443","QUIC","1399","",""
"279","17.743623","192.168.42.224","142.250.192.142","62097","443","TLSv1.3","192","","0x018"
"280","17.750639","142.250.182.246","192.168.42.224","443","62098","TLSv1.3","1424","","0x010"
"281","17.754751","142.250.182.246","192.168.42.224","443","62098","TCP","1424","","0x018"
"282","17.754830","192.168.42.224","142.250.182.246","62098","443","TCP","54","","0x010"
